,Author,collaborators
57,Q Xiong,"['L Bao', 'M Zhang', 'S Li', 'W Wu', 'B Wan', 'W J Terpstra', 'R Hartskeerl']"
58,L Bao,"['Q Xiong', 'M Zhang', 'S Li', 'W Wu', 'B Wan', 'W J Terpstra', 'R Hartskeerl', 'H Xu', 'J Yan', 'B Shen', 'H Qiu']"
59,M Zhang,"['Q Xiong', 'L Bao', 'S Li', 'W Wu', 'B Wan', 'W J Terpstra', 'R Hartskeerl']"
60,S Li,"['Q Xiong', 'L Bao', 'M Zhang', 'W Wu', 'B Wan', 'W J Terpstra', 'R Hartskeerl', 'B Dai', 'J Xiao', 'Z Yan', 'C Shen', 'Z Fang', 'X J Meng', 'D S Lindsay', 'N Sriranganathan', 'Y Xie', 'M Xu', 'C Wang', 'Y Xiao', 'C Jiang', 'X You', 'F Zhao', 'T Zeng', 'S Liu', 'X Kuang', 'Y Wu', 'C-H Lai', 'W Sun', 'C-H Lee', 'J-N Lin', 'M-H Liao', 'S-S Liu', 'T-Y Chang', 'K-F Tsai', 'Y-C Chang', 'H-H Lin', 'Y-H Chen', 'Charles W Sanders', 'Colleen Olfenbuttel', 'Krishna Pacifici', 'George R Hess', 'Robert S Livingston', 'Christopher S DePerno']"
61,W Wu,"['Q Xiong', 'L Bao', 'M Zhang', 'S Li', 'B Wan', 'W J Terpstra', 'R Hartskeerl']"
62,B Wan,"['Q Xiong', 'L Bao', 'M Zhang', 'S Li', 'W Wu', 'W J Terpstra', 'R Hartskeerl', 'H Xu', 'J Yan', 'B Shen', 'H Qiu']"
63,W J Terpstra,"['Q Xiong', 'L Bao', 'M Zhang', 'S Li', 'W Wu', 'B Wan', 'R Hartskeerl', 'H L Smits', 'M A van der Hoorn', 'M G Goris', 'G C Gussenhoven', 'C Yersin', 'D M Sasaki', 'R A Hartskeerl', 'P Vijayachari', 'S C Sehgal', 'Marga G A Goris']"
64,R Hartskeerl,"['Q Xiong', 'L Bao', 'M Zhang', 'S Li', 'W Wu', 'B Wan', 'W J Terpstra', 'J F P Wagenaar', 'M G A Goris', 'M S Sakundarno', 'M H Gasem', 'A T A Mairuhu', 'M D de Kruif', 'H Ten Cate', 'D P M Brandjes', 'E C M van Gorp']"
65,H Xu,"['B Wan', 'L Bao', 'J Yan', 'B Shen', 'H Qiu']"
66,J Yan,"['B Wan', 'L Bao', 'H Xu', 'B Shen', 'H Qiu', 'S J Li', 'D M Wang', 'C C Zhang', 'X W Li', 'H M Yang', 'K C Tian', 'X Y Wei', 'Y Liu', 'G P Tang', 'X G Jiang']"
67,B Shen,"['B Wan', 'L Bao', 'H Xu', 'J Yan', 'H Qiu']"
68,H Qiu,"['B Wan', 'L Bao', 'H Xu', 'J Yan', 'B Shen']"
69,P V Effler,"['H Y Domen', 'S L Bragg', 'T Aye', 'D M Sasaki', 'A R Katz', 'V E Ansdell', 'C R Middleton']"
70,H Y Domen,"['P V Effler', 'S L Bragg', 'T Aye', 'D M Sasaki']"
71,S L Bragg,"['P V Effler', 'H Y Domen', 'T Aye', 'D M Sasaki', 'E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford', 'J Guarner', 'W J Shieh', 'J Morgan', 'S R Zaki', 'Michael G Bruce', 'E J Sanders', 'J A D Leake', 'O Zaidel', 'K A Shutt', 'C C Deseda', 'J G Rigau-Perez', 'B A Perkins', 'R A Spiegel', 'C Hull-Jackson', 'M B Glass', 'M D Ari', 'S L Branch', 'C U Whittington', 'C N Edwards', 'P N Levett']"
72,T Aye,"['P V Effler', 'H Y Domen', 'S L Bragg', 'D M Sasaki', 'Michael G Bruce', 'E J Sanders', 'J A D Leake', 'O Zaidel', 'K A Shutt', 'C C Deseda', 'J G Rigau-Perez', 'J W Tappero', 'B A Perkins', 'R A Spiegel', 'D A Ashford']"
73,D M Sasaki,"['P V Effler', 'H Y Domen', 'S L Bragg', 'T Aye', 'H L Smits', 'M A van der Hoorn', 'M G Goris', 'G C Gussenhoven', 'C Yersin', 'W J Terpstra', 'R A Hartskeerl', 'S J Manea', 'J K Ikeda', 'P P Bruno', 'C R Middleton', 'V E Ansdell', 'A R Katz', 'F P Hurst', 'R T Neff', 'A E Buchholz', 'B W Berg', 'K C Abbott']"
74,H L Smits,"['M A van der Hoorn', 'M G Goris', 'G C Gussenhoven', 'C Yersin', 'D M Sasaki', 'W J Terpstra', 'R A Hartskeerl', 'C K Eapen', 'S Sugathan', 'M Kuriakose', 'M H Gasem', 'D Sasaki', 'B Pujianto', 'M Vestering', 'T H Abdoel', 'H D Chee', 'D Sakasi', 'R F Lai-A-Fat', 'B Liesdek', 'M Hatta', 'J Gooskens', 'J F P Wagenaar', 'T H F Falke', 'N V Nam', 'T Q Binh', 'F G J Cobelens', 'P J de Vries', 'W Tangkanakul', 'S Jatanasen', 'D A Ashford']"
75,M A van der Hoorn,"['H L Smits', 'M G Goris', 'G C Gussenhoven', 'C Yersin', 'D M Sasaki', 'W J Terpstra', 'R A Hartskeerl']"
76,M G Goris,"['H L Smits', 'M A van der Hoorn', 'G C Gussenhoven', 'C Yersin', 'D M Sasaki', 'W J Terpstra', 'R A Hartskeerl', 'H D Chee', 'C K Eapen', 'M Kuriakose', 'S Sugathan', 'M H Gasem', 'D Sakasi', 'R F Lai-A-Fat', 'B Liesdek', 'T H Abdoel', 'G F Mgode', ""R S Machang'u"", 'M Engelbert', 'S Sondij', 'M J L Kik', 'J H Bos', 'G M Dorrestein', 'M Goeijenbier', 'J Reimerink', 'J Verner-Carlsson', 'J F Wagenaar', 'B E Martina', 'Å Lundkvist', 'M Koopmans', 'A D Osterhaus', 'E C van Gorp', 'C B Reusken']"
77,G C Gussenhoven,"['H L Smits', 'M A van der Hoorn', 'M G Goris', 'C Yersin', 'D M Sasaki', 'W J Terpstra', 'R A Hartskeerl', 'C K Eapen', 'S Sugathan', 'M Kuriakose', 'M H Gasem', 'D Sasaki', 'B Pujianto', 'M Vestering', 'T H Abdoel', 'H D Chee', 'D Sakasi', 'R F Lai-A-Fat', 'B Liesdek', 'M Hatta', 'J Gooskens']"
78,C Yersin,"['H L Smits', 'M A van der Hoorn', 'M G Goris', 'G C Gussenhoven', 'D M Sasaki', 'W J Terpstra', 'R A Hartskeerl', 'C K Eapen', 'S Sugathan', 'M Kuriakose', 'M H Gasem', 'D Sasaki', 'B Pujianto', 'M Vestering', 'T H Abdoel', 'H D Chee', 'D Sakasi', 'R F Lai-A-Fat', 'B Liesdek']"
79,R A Hartskeerl,"['H L Smits', 'M A van der Hoorn', 'M G Goris', 'G C Gussenhoven', 'C Yersin', 'D M Sasaki', 'W J Terpstra', 'H D Chee', 'C K Eapen', 'M Kuriakose', 'S Sugathan', 'M H Gasem', 'D Sakasi', 'R F Lai-A-Fat', 'B Liesdek', 'T H Abdoel', 'P Vijayachari', 'S C Sehgal', 'Marga G A Goris', 'A L T O Nascimento', 'A I Ko', 'E A L Martins', 'C B Monteiro-Vitorello', 'P L Ho', 'D A Haake', 'S Verjovski-Almeida', 'M V Marques', 'M C Oliveira', 'C F M Menck', 'L C C Leite', 'H Carrer', 'L L Coutinho', 'W M Degrave', 'O A Dellagostin', 'H El-Dorry', 'E S Ferro', 'M I T Ferro', 'L R Furlan', 'M Gamberini', 'E A Giglioti', 'A Góes-Neto', 'G H Goldman', 'M H S Goldman', 'R Harakava', 'S M B Jerônimo', 'I L M Junqueira-de-Azevedo', 'E T Kimura', 'E E Kuramae', 'E G M Lemos', 'M V F Lemos', 'C L Marino', 'L R Nunes', 'R C de Oliveira', 'G G Pereira', 'M S Reis', 'A Schriefer', 'W J Siqueira', 'P Sommer', 'S M Tsai', 'A J G Simpson', 'J A Ferro', 'L E A Camargo', 'J P Kitajima', 'J C Setubal', 'M A Van Sluys', 'R J Chappel', 'M Goris', 'M F Palmer', 'G F Mgode', ""R S Machang'u"", 'M Engelbert', 'S Sondij', 'M J L Kik', 'J H Bos', 'G M Dorrestein', 'N H M T Peperkamp', 'L Szeredi', 'D J Houwers', 'J F P Wagenaar', 'M G A Goris', 'D L Partiningrum', 'B Isbandrio', 'D P M Brandjes', 'J C M Meijers', 'E C M van Gorp', 'M Collares-Pereira', 'W A Ellis', 'P Bourhy', 'L Collet', 'T Lernout', 'F Zinini', 'Hans van der Linden', 'J M Thiberge', 'L Diancourt', 'S Brisse', 'C Giry', 'F Pettinelli', 'M Picardeau', 'H J F Helmerhorst', 'E N van Tol', 'P R Tuinman', 'P J de Vries', 'M P Grobusch', 'J W Hovius', 'Ma de Los A Valverde', 'V González', 'M E Anchia', 'P Díaz', 'A Ahmed', 'T Brownlow', 'O V Kavanagh', 'E F Logan', 'R Savage', 'M Krahl', 'D P Mackie', 'A Benkirane', 'S Noury', 'J E Nally', 'M Goeijenbier', 'J Reimerink', 'J Verner-Carlsson', 'J F Wagenaar', 'B E Martina', 'Å Lundkvist', 'M Koopmans', 'A D Osterhaus', 'E C van Gorp', 'C B Reusken', 'D T H Denipitiya', 'N V Chandrasekharan', 'W Abeyewickreme', 'C M Hartskeerl', 'A M Jiffrey', 'M D Hapugoda']"
80,E R Campagnolo,"['M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford']"
81,M C Warwick,"['E R Campagnolo', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford']"
82,H L Marx,"['E R Campagnolo', 'M C Warwick', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford']"
83,R P Cowart,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford']"
84,H D Donnell,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford']"
85,M D Bajani,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford', 'J Guarner', 'W J Shieh', 'J Morgan', 'S R Zaki']"
86,J E Esteban,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'D P Alt', 'J W Tappero', 'C A Bolin', 'D A Ashford']"
