,Author,collaborators
8507,Ana Lys Bezerra Barradas Mineiro,"['Ângela Piauilino Campos', 'Dayane Francisca Higino Miranda', 'Huanna Waleska Soares Rodrigues', 'Micherlene da Silva Carneiro Lustosa', 'Gustavo Henrique Chaves Martins', 'Vanessa Castro', 'Sérgio Santos Azevedo', 'Silvana Maria Medeiros de Sousa Silva', 'Elís Rosélia Dutra de Freitas Siqueira Silva', 'Maria das Graças Prianti', 'Misael das Virgens Santana', 'Lucas Moreira Brito']"
8508,Silvana Maria Medeiros de Sousa Silva,"['Ângela Piauilino Campos', 'Dayane Francisca Higino Miranda', 'Huanna Waleska Soares Rodrigues', 'Micherlene da Silva Carneiro Lustosa', 'Gustavo Henrique Chaves Martins', 'Ana Lys Bezerra Barradas Mineiro', 'Vanessa Castro', 'Sérgio Santos Azevedo', 'Elís Rosélia Dutra de Freitas Siqueira Silva', 'Maria das Graças Prianti', 'Misael das Virgens Santana', 'Lucas Moreira Brito']"
8509,R Sant'anna,"['A S Vieira', 'J Grapiglia', 'W Lilenbaum']"
8510,A S Vieira,"[""R Sant'anna"", 'J Grapiglia', 'W Lilenbaum', ""R Sant'Anna"", 'J Oliveira']"
8511,J Grapiglia,"[""R Sant'anna"", 'A S Vieira', 'W Lilenbaum']"
8512,Alongkorn Kurilung,"['Pattrarat Chanchaithong', 'Kittitat Lugsomya', 'Waree Niyomtham', 'Vanaporn Wuthiekanun', 'Nuvee Prapasarakul', 'Fabienne Sprißler', 'Prapaporn Jongwattanapisan', 'Supol Luengyosluechakul', 'Rosama Pusoonthornthum', 'Marga Goris', 'Ahmed Ahmed', 'Sven Reese', 'Michèle Bergmann', 'Roswitha Dorsch', 'Henricus L B M Klaasen', 'Katrin Hartmann', 'Chantisa Keeratipusana', 'Tokumasa Horiike', 'Prapat Suriyaphol', 'David J Hampson']"
8513,Pattrarat Chanchaithong,"['Alongkorn Kurilung', 'Kittitat Lugsomya', 'Waree Niyomtham', 'Vanaporn Wuthiekanun', 'Nuvee Prapasarakul']"
8514,Kittitat Lugsomya,"['Alongkorn Kurilung', 'Pattrarat Chanchaithong', 'Waree Niyomtham', 'Vanaporn Wuthiekanun', 'Nuvee Prapasarakul']"
8515,Waree Niyomtham,"['Alongkorn Kurilung', 'Pattrarat Chanchaithong', 'Kittitat Lugsomya', 'Vanaporn Wuthiekanun', 'Nuvee Prapasarakul']"
8516,Nuvee Prapasarakul,"['Alongkorn Kurilung', 'Pattrarat Chanchaithong', 'Kittitat Lugsomya', 'Waree Niyomtham', 'Vanaporn Wuthiekanun', 'Fabienne Sprißler', 'Prapaporn Jongwattanapisan', 'Supol Luengyosluechakul', 'Rosama Pusoonthornthum', 'Marga Goris', 'Ahmed Ahmed', 'Sven Reese', 'Michèle Bergmann', 'Roswitha Dorsch', 'Henricus L B M Klaasen', 'Katrin Hartmann', 'Chantisa Keeratipusana', 'Tokumasa Horiike', 'Prapat Suriyaphol', 'David J Hampson']"
8517,Olusola L Ajayi,"['Richard E Antia', 'Olufemi E Ojo', 'Olajoju J Awoyomi', 'Latifa A Oyinlola', 'Oluwabusola G Ojebiyi']"
8518,Richard E Antia,"['Olusola L Ajayi', 'Olufemi E Ojo', 'Olajoju J Awoyomi', 'Latifa A Oyinlola', 'Oluwabusola G Ojebiyi']"
8519,Olufemi E Ojo,"['Olusola L Ajayi', 'Richard E Antia', 'Olajoju J Awoyomi', 'Latifa A Oyinlola', 'Oluwabusola G Ojebiyi']"
8520,Olajoju J Awoyomi,"['Olusola L Ajayi', 'Richard E Antia', 'Olufemi E Ojo', 'Latifa A Oyinlola', 'Oluwabusola G Ojebiyi']"
8521,Latifa A Oyinlola,"['Olusola L Ajayi', 'Richard E Antia', 'Olufemi E Ojo', 'Olajoju J Awoyomi', 'Oluwabusola G Ojebiyi']"
8522,Oluwabusola G Ojebiyi,"['Olusola L Ajayi', 'Richard E Antia', 'Olufemi E Ojo', 'Olajoju J Awoyomi', 'Latifa A Oyinlola']"
8523,A Jacobs,"['F Harks', 'M Hoeijmakers', 'R Segers']"
8524,F Harks,"['A Jacobs', 'M Hoeijmakers', 'R Segers']"
8525,M Hoeijmakers,"['A Jacobs', 'F Harks', 'R Segers']"
8526,R Segers,"['A Jacobs', 'F Harks', 'M Hoeijmakers']"
8527,Bashiru Garba,"['Abdul Rani Bahaman', 'Siti Khairani-Bejo', 'Zunita Zakaria', 'Abdul Rahim Mutalib', 'Siti Khairani Bejo', 'Faruku Bande']"
8528,Zunita Zakaria,"['Bashiru Garba', 'Abdul Rani Bahaman', 'Siti Khairani-Bejo', 'Abdul Rahim Mutalib', 'Siti Khairani Bejo', 'Faruku Bande']"
8529,Milena Hasan,"['Mariko Matsui', 'Louise Roche', 'Marie-Estelle Soupé-Gilbert', 'Didier Monchy', 'Cyrille Goarant']"
8530,Allison M White,"['Carlos Zambrana-Torrelio', 'Toph Allen', 'Melinda K Rostal', 'Andrea K Wright', 'Eileen C Ball', 'Peter Daszak', 'William B Karesh']"
8531,Carlos Zambrana-Torrelio,"['Allison M White', 'Toph Allen', 'Melinda K Rostal', 'Andrea K Wright', 'Eileen C Ball', 'Peter Daszak', 'William B Karesh']"
8532,Toph Allen,"['Allison M White', 'Carlos Zambrana-Torrelio', 'Melinda K Rostal', 'Andrea K Wright', 'Eileen C Ball', 'Peter Daszak', 'William B Karesh']"
8533,Melinda K Rostal,"['Allison M White', 'Carlos Zambrana-Torrelio', 'Toph Allen', 'Andrea K Wright', 'Eileen C Ball', 'Peter Daszak', 'William B Karesh']"
8534,Andrea K Wright,"['Allison M White', 'Carlos Zambrana-Torrelio', 'Toph Allen', 'Melinda K Rostal', 'Eileen C Ball', 'Peter Daszak', 'William B Karesh']"
8535,Eileen C Ball,"['Allison M White', 'Carlos Zambrana-Torrelio', 'Toph Allen', 'Melinda K Rostal', 'Andrea K Wright', 'Peter Daszak', 'William B Karesh']"
8536,Peter Daszak,"['Allison M White', 'Carlos Zambrana-Torrelio', 'Toph Allen', 'Melinda K Rostal', 'Andrea K Wright', 'Eileen C Ball', 'William B Karesh']"
8537,Julia Ter Beest,"['Andrew Cushing', 'Modesto McClean', 'Wendy Hsu', 'Robert Bildfell']"
8538,Andrew Cushing,"['Julia Ter Beest', 'Modesto McClean', 'Wendy Hsu', 'Robert Bildfell']"
8539,Modesto McClean,"['Julia Ter Beest', 'Andrew Cushing', 'Wendy Hsu', 'Robert Bildfell']"
8540,Wendy Hsu,"['Julia Ter Beest', 'Andrew Cushing', 'Modesto McClean', 'Robert Bildfell']"
8541,Robert Bildfell,"['Julia Ter Beest', 'Andrew Cushing', 'Modesto McClean', 'Wendy Hsu']"
8542,Narelle A Dybing,"['Caroline Jacobson', 'Peter Irwin', 'David Algar', 'Peter J Adams']"
8543,Caroline Jacobson,"['Narelle A Dybing', 'Peter Irwin', 'David Algar', 'Peter J Adams']"
8544,Peter Irwin,"['Narelle A Dybing', 'Caroline Jacobson', 'David Algar', 'Peter J Adams']"
8545,David Algar,"['Narelle A Dybing', 'Caroline Jacobson', 'Peter Irwin', 'Peter J Adams']"
8546,Peter J Adams,"['Narelle A Dybing', 'Caroline Jacobson', 'Peter Irwin', 'David Algar']"
8547,Edmond Puca,"['Joana Majko', 'Entela Puca', 'Elda Qyra', 'Arjet Gega', 'Pellumb Pipero', 'Arjan Harxhi', 'Erjona Abazaj', 'Ilir Akshija', 'Redi Ferizaj', 'Najada Como']"
8548,Joana Majko,"['Edmond Puca', 'Entela Puca', 'Elda Qyra', 'Arjet Gega', 'Pellumb Pipero']"
8549,Entela Puca,"['Edmond Puca', 'Joana Majko', 'Elda Qyra', 'Arjet Gega', 'Pellumb Pipero', 'Arjan Harxhi', 'Erjona Abazaj', 'Ilir Akshija', 'Redi Ferizaj', 'Najada Como']"
8550,Elda Qyra,"['Edmond Puca', 'Joana Majko', 'Entela Puca', 'Arjet Gega', 'Pellumb Pipero']"
8551,Arjet Gega,"['Edmond Puca', 'Joana Majko', 'Entela Puca', 'Elda Qyra', 'Pellumb Pipero', 'Arjan Harxhi', 'Erjona Abazaj', 'Ilir Akshija']"
8552,Pellumb Pipero,"['Edmond Puca', 'Joana Majko', 'Entela Puca', 'Elda Qyra', 'Arjet Gega', 'Arjan Harxhi', 'Erjona Abazaj', 'Ilir Akshija', 'Redi Ferizaj', 'Najada Como']"
8553,Abhishek Dubey,"['Antara Bagchi', 'Disha Sharma', 'Amit Dey', 'Kunal Nandy', 'Rajaram Sharma']"
8554,Antara Bagchi,"['Abhishek Dubey', 'Disha Sharma', 'Amit Dey', 'Kunal Nandy', 'Rajaram Sharma']"
8555,Disha Sharma,"['Abhishek Dubey', 'Antara Bagchi', 'Amit Dey', 'Kunal Nandy', 'Rajaram Sharma']"
8556,Amit Dey,"['Abhishek Dubey', 'Antara Bagchi', 'Disha Sharma', 'Kunal Nandy', 'Rajaram Sharma']"
8557,Kunal Nandy,"['Abhishek Dubey', 'Antara Bagchi', 'Disha Sharma', 'Amit Dey', 'Rajaram Sharma']"
8558,Rajaram Sharma,"['Abhishek Dubey', 'Antara Bagchi', 'Disha Sharma', 'Amit Dey', 'Kunal Nandy']"
8559,Michèle Bergmann,"['Julia-Rebecca Llewellyn', 'Katrin Hartmann', 'Fabienne Sprißler', 'Prapaporn Jongwattanapisan', 'Supol Luengyosluechakul', 'Rosama Pusoonthornthum', 'Nuvee Prapasarakul', 'Alongkorn Kurilung', 'Marga Goris', 'Ahmed Ahmed', 'Sven Reese', 'Roswitha Dorsch', 'Henricus L B M Klaasen']"
8560,Julia-Rebecca Llewellyn,"['Michèle Bergmann', 'Katrin Hartmann']"
8561,Miguel Pardinas,"['Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Rajan Garg', 'Luis Rosario', 'Rene Rico', 'Anthony Panos', 'Horst Baier', 'Stefanie Krick']"
8562,Rodrigo Mendirichaga,"['Miguel Pardinas', 'Gaurav Budhrani', 'Rajan Garg', 'Luis Rosario', 'Rene Rico', 'Anthony Panos', 'Horst Baier', 'Stefanie Krick']"
8563,Gaurav Budhrani,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Rajan Garg', 'Luis Rosario', 'Rene Rico', 'Anthony Panos', 'Horst Baier', 'Stefanie Krick']"
8564,Rajan Garg,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Luis Rosario', 'Rene Rico', 'Anthony Panos', 'Horst Baier', 'Stefanie Krick']"
8565,Luis Rosario,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Rajan Garg', 'Rene Rico', 'Anthony Panos', 'Horst Baier', 'Stefanie Krick']"
8566,Rene Rico,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Rajan Garg', 'Luis Rosario', 'Anthony Panos', 'Horst Baier', 'Stefanie Krick']"
8567,Anthony Panos,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Rajan Garg', 'Luis Rosario', 'Rene Rico', 'Horst Baier', 'Stefanie Krick']"
8568,Horst Baier,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Rajan Garg', 'Luis Rosario', 'Rene Rico', 'Anthony Panos', 'Stefanie Krick']"
8569,Stefanie Krick,"['Miguel Pardinas', 'Rodrigo Mendirichaga', 'Gaurav Budhrani', 'Rajan Garg', 'Luis Rosario', 'Rene Rico', 'Anthony Panos', 'Horst Baier']"
8570,Andrés M López-Pérez,"['Gerardo Carreón-Arroyo', 'Daniel Atilano', 'Ana L Vigueras-Galván', 'Carlos Valdez', 'Daniel Toyos', 'Daniel Mendizabal', 'Jonathan López-Islas', 'Gerardo Suzán']"
8571,Gerardo Carreón-Arroyo,"['Andrés M López-Pérez', 'Daniel Atilano', 'Ana L Vigueras-Galván', 'Carlos Valdez', 'Daniel Toyos', 'Daniel Mendizabal', 'Jonathan López-Islas', 'Gerardo Suzán']"
8572,Ana L Vigueras-Galván,"['Andrés M López-Pérez', 'Gerardo Carreón-Arroyo', 'Daniel Atilano', 'Carlos Valdez', 'Daniel Toyos', 'Daniel Mendizabal', 'Jonathan López-Islas', 'Gerardo Suzán']"
8573,Carlos Valdez,"['Andrés M López-Pérez', 'Gerardo Carreón-Arroyo', 'Daniel Atilano', 'Ana L Vigueras-Galván', 'Daniel Toyos', 'Daniel Mendizabal', 'Jonathan López-Islas', 'Gerardo Suzán']"
8574,Daniel Toyos,"['Andrés M López-Pérez', 'Gerardo Carreón-Arroyo', 'Daniel Atilano', 'Ana L Vigueras-Galván', 'Carlos Valdez', 'Daniel Mendizabal', 'Jonathan López-Islas', 'Gerardo Suzán']"
8575,Daniel Mendizabal,"['Andrés M López-Pérez', 'Gerardo Carreón-Arroyo', 'Daniel Atilano', 'Ana L Vigueras-Galván', 'Carlos Valdez', 'Daniel Toyos', 'Jonathan López-Islas', 'Gerardo Suzán']"
8576,Jonathan López-Islas,"['Andrés M López-Pérez', 'Gerardo Carreón-Arroyo', 'Daniel Atilano', 'Ana L Vigueras-Galván', 'Carlos Valdez', 'Daniel Toyos', 'Daniel Mendizabal', 'Gerardo Suzán']"
8577,L Epelboin,"['P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8578,P Le Turnier,"['L Epelboin', 'P Bourhy', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8579,R Schaub,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8580,E Mosnier,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8581,Y Reynaud,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8582,M Nacher,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8583,B De Thoisy,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8584,G Carles,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'C Richard-Hansen', 'M Demar', 'M Picardeau', 'F Djossou']"
8585,C Richard-Hansen,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'M Demar', 'M Picardeau', 'F Djossou']"
8586,M Demar,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Picardeau', 'F Djossou']"
8587,F Djossou,"['L Epelboin', 'P Bourhy', 'P Le Turnier', 'R Schaub', 'E Mosnier', 'A Berlioz-Arthaud', 'Y Reynaud', 'M Nacher', 'B De Thoisy', 'G Carles', 'C Richard-Hansen', 'M Demar', 'M Picardeau']"
8588,Hu Suk Lee,"['Nguyen Viet Khong', 'Huyen Nguyen Xuan', 'Vuong Bui Nghia', 'Hung Nguyen-Viet', 'Delia Grace', 'To Long Thanh', 'Nguyen Khanh Ly', 'Krishna K Thakur', 'Vuong Nghia Bui', 'Huyen Xuan Nguyen', 'Anh Ngoc Bui', 'Trung Duc Hoang', 'Delia Grace Randolph', 'Barbara Wieland']"
8589,Nguyen Viet Khong,"['Hu Suk Lee', 'Huyen Nguyen Xuan', 'Vuong Bui Nghia', 'Hung Nguyen-Viet', 'Delia Grace']"
8590,Huyen Nguyen Xuan,"['Hu Suk Lee', 'Nguyen Viet Khong', 'Vuong Bui Nghia', 'Hung Nguyen-Viet', 'Delia Grace']"
8591,Vuong Bui Nghia,"['Hu Suk Lee', 'Nguyen Viet Khong', 'Huyen Nguyen Xuan', 'Hung Nguyen-Viet', 'Delia Grace']"
8592,Hung Nguyen-Viet,"['Hu Suk Lee', 'Nguyen Viet Khong', 'Huyen Nguyen Xuan', 'Vuong Bui Nghia', 'Delia Grace', 'To Long Thanh', 'Nguyen Khanh Ly', 'Krishna K Thakur', 'Vuong Nghia Bui', 'Huyen Xuan Nguyen', 'Anh Ngoc Bui', 'Trung Duc Hoang', 'Delia Grace Randolph', 'Barbara Wieland']"
8593,Delia Grace,"['Hu Suk Lee', 'Nguyen Viet Khong', 'Huyen Nguyen Xuan', 'Vuong Bui Nghia', 'Hung Nguyen-Viet', 'To Long Thanh', 'Nguyen Khanh Ly', 'Krishna K Thakur', 'Vuong Nghia Bui', 'Huyen Xuan Nguyen', 'Anh Ngoc Bui', 'Trung Duc Hoang', 'Delia Grace Randolph', 'Barbara Wieland', 'Christine Atherstone', 'Georgies F Mgode', 'Navneet K Dhand', 'Silvia Alonso', 'Michael P Ward', 'Siobhan M Mor', 'Martin Wainaina', 'Johanna F Lindahl', 'Ian Dohoo', 'Anne Mayer-Scholl', 'Kristina Roesel', 'Deborah Mbotha', 'Uwe Roesler', 'Bernard Bett', 'Sascha Al Dahouk']"
8594,Gabriela Studart Galdino de Carvalho,"['Elizabeth De Francesco Daher', 'Douglas de Sousa Soares', 'Matheus Henrique Mendes', 'Sérgio Luiz Arruda Parente Filho', 'Hermano Alexandre Lima Rocha', 'Geraldo Bezerra da Silva Junior']"
8595,Douglas de Sousa Soares,"['Elizabeth De Francesco Daher', 'Gabriela Studart Galdino de Carvalho', 'Matheus Henrique Mendes', 'Sérgio Luiz Arruda Parente Filho', 'Hermano Alexandre Lima Rocha', 'Geraldo Bezerra da Silva Junior']"
8596,Matheus Henrique Mendes,"['Elizabeth De Francesco Daher', 'Gabriela Studart Galdino de Carvalho', 'Douglas de Sousa Soares', 'Sérgio Luiz Arruda Parente Filho', 'Hermano Alexandre Lima Rocha', 'Geraldo Bezerra da Silva Junior']"
8597,Sérgio Luiz Arruda Parente Filho,"['Elizabeth De Francesco Daher', 'Gabriela Studart Galdino de Carvalho', 'Douglas de Sousa Soares', 'Matheus Henrique Mendes', 'Hermano Alexandre Lima Rocha', 'Geraldo Bezerra da Silva Junior']"
8598,Hermano Alexandre Lima Rocha,"['Elizabeth De Francesco Daher', 'Gabriela Studart Galdino de Carvalho', 'Douglas de Sousa Soares', 'Matheus Henrique Mendes', 'Sérgio Luiz Arruda Parente Filho', 'Geraldo Bezerra da Silva Junior']"
8599,Seema Patel,[]
8600,Bernd Ludwig,"['Viviane Zotzmann', 'Christoph Bode', 'Dawid L Staudacher', 'Stefan Zschiedrich']"
8601,Viviane Zotzmann,"['Bernd Ludwig', 'Christoph Bode', 'Dawid L Staudacher', 'Stefan Zschiedrich']"
8602,Christoph Bode,"['Bernd Ludwig', 'Viviane Zotzmann', 'Dawid L Staudacher', 'Stefan Zschiedrich']"
8603,Dawid L Staudacher,"['Bernd Ludwig', 'Viviane Zotzmann', 'Christoph Bode', 'Stefan Zschiedrich']"
8604,Stefan Zschiedrich,"['Bernd Ludwig', 'Viviane Zotzmann', 'Christoph Bode', 'Dawid L Staudacher']"
8605,Keiko Tanaka,"['Katsuyuki Tanabe', 'Naoko Nishii', 'Keiichi Takiue', 'Hitoshi Sugiyama', 'Jun Wada']"
8606,Katsuyuki Tanabe,"['Keiko Tanaka', 'Naoko Nishii', 'Keiichi Takiue', 'Hitoshi Sugiyama', 'Jun Wada']"
8607,Naoko Nishii,"['Keiko Tanaka', 'Katsuyuki Tanabe', 'Keiichi Takiue', 'Hitoshi Sugiyama', 'Jun Wada']"
8608,Keiichi Takiue,"['Keiko Tanaka', 'Katsuyuki Tanabe', 'Naoko Nishii', 'Hitoshi Sugiyama', 'Jun Wada']"
8609,Hitoshi Sugiyama,"['Keiko Tanaka', 'Katsuyuki Tanabe', 'Naoko Nishii', 'Keiichi Takiue', 'Jun Wada']"
8610,Jun Wada,"['Keiko Tanaka', 'Katsuyuki Tanabe', 'Naoko Nishii', 'Keiichi Takiue', 'Hitoshi Sugiyama']"
8611,Daniele Canale,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Ana Maria G da Silva', 'Larissa do R B Matos', 'Tatiane B Gotti', 'Denize Monaris', 'Denise A de Jesus', 'Sílvio A Vasconcellos', 'Thales de Brito', 'Antonio J B Magaldi']"
8612,Ana Maria G da Silva,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Daniele Canale', 'Larissa do R B Matos', 'Tatiane B Gotti', 'Denize Monaris', 'Denise A de Jesus', 'Sílvio A Vasconcellos', 'Thales de Brito', 'Antonio J B Magaldi']"
8613,Larissa do R B Matos,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Daniele Canale', 'Ana Maria G da Silva', 'Tatiane B Gotti', 'Denize Monaris', 'Denise A de Jesus', 'Sílvio A Vasconcellos', 'Thales de Brito', 'Antonio J B Magaldi']"
8614,Tatiane B Gotti,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Daniele Canale', 'Ana Maria G da Silva', 'Larissa do R B Matos', 'Denize Monaris', 'Denise A de Jesus', 'Sílvio A Vasconcellos', 'Thales de Brito', 'Antonio J B Magaldi']"
8615,Denise A de Jesus,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Daniele Canale', 'Ana Maria G da Silva', 'Larissa do R B Matos', 'Tatiane B Gotti', 'Denize Monaris', 'Sílvio A Vasconcellos', 'Thales de Brito', 'Antonio J B Magaldi']"
8616,Thales de Brito,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Daniele Canale', 'Ana Maria G da Silva', 'Larissa do R B Matos', 'Tatiane B Gotti', 'Denize Monaris', 'Denise A de Jesus', 'Sílvio A Vasconcellos', 'Antonio J B Magaldi']"
8617,Antonio J B Magaldi,"['Patrícia A E Abreu', 'Antonio C Seguro', 'Daniele Canale', 'Ana Maria G da Silva', 'Larissa do R B Matos', 'Tatiane B Gotti', 'Denize Monaris', 'Denise A de Jesus', 'Sílvio A Vasconcellos', 'Thales de Brito']"
8618,Fairuz Binti Amran,"['Xue Ting Tan', 'Ravindran Thayan', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rahimah Haron', 'Rafidah Abdullah', 'Sazwan Reezal Bin Shamsuddin', 'Nor Suhaila Binti Md Riffin', 'Puteri Shafinaz Abdul-Rahman']"
8619,Ravindran Thayan,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rahimah Haron', 'Rafidah Abdullah', 'Sazwan Reezal Bin Shamsuddin', 'Nor Suhaila Binti Md Riffin', 'Puteri Shafinaz Abdul-Rahman']"
8620,Roslinda Jaafar,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Ravindran Thayan', 'Norazah Ahmad', 'Rahimah Haron', 'Rafidah Abdullah', 'Sazwan Reezal Bin Shamsuddin', 'Nor Suhaila Binti Md Riffin', 'Puteri Shafinaz Abdul-Rahman']"
8621,Rahimah Haron,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Ravindran Thayan', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rafidah Abdullah', 'Sazwan Reezal Bin Shamsuddin', 'Nor Suhaila Binti Md Riffin', 'Puteri Shafinaz Abdul-Rahman']"
8622,Rafidah Abdullah,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Ravindran Thayan', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rahimah Haron', 'Sazwan Reezal Bin Shamsuddin', 'Nor Suhaila Binti Md Riffin', 'Puteri Shafinaz Abdul-Rahman']"
8623,Sazwan Reezal Bin Shamsuddin,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Ravindran Thayan', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rahimah Haron', 'Rafidah Abdullah', 'Nor Suhaila Binti Md Riffin', 'Puteri Shafinaz Abdul-Rahman']"
8624,Nor Suhaila Binti Md Riffin,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Ravindran Thayan', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rahimah Haron', 'Rafidah Abdullah', 'Sazwan Reezal Bin Shamsuddin', 'Puteri Shafinaz Abdul-Rahman']"
8625,Puteri Shafinaz Abdul-Rahman,"['Xue Ting Tan', 'Fairuz Binti Amran', 'Ravindran Thayan', 'Norazah Ahmad', 'Roslinda Jaafar', 'Rahimah Haron', 'Rafidah Abdullah', 'Sazwan Reezal Bin Shamsuddin', 'Nor Suhaila Binti Md Riffin']"
8626,Randi Connor-Schuler,"['Anee Khan', 'Nikhil Goyal', 'Erin Zimny']"
8627,Anee Khan,"['Randi Connor-Schuler', 'Nikhil Goyal', 'Erin Zimny']"
8628,Nikhil Goyal,"['Randi Connor-Schuler', 'Anee Khan', 'Erin Zimny']"
8629,Erin Zimny,"['Randi Connor-Schuler', 'Anee Khan', 'Nikhil Goyal']"
8630,Alessandro Delaude,"['Sabrina Rodriguez-Campos', 'Anou Dreyfus', 'Michel Jacques Counotte', 'Thierry Francey', 'Ariane Schweighauser', 'Sophie Lettry', 'Simone Schuller']"
8631,Sabrina Rodriguez-Campos,"['Alessandro Delaude', 'Anou Dreyfus', 'Michel Jacques Counotte', 'Thierry Francey', 'Ariane Schweighauser', 'Sophie Lettry', 'Simone Schuller', 'Andrea M Spiri', 'José M Matos', 'Tony M Glaus', 'Barbara Riond', 'Claudia E Reusch', 'Regina Hofmann-Lehmann', 'Barbara Willi', 'Lordrick Alinaitwe', 'Clovice Kankya', 'Kathryn J Allan', 'Paul Torgerson']"
8632,Michel Jacques Counotte,"['Alessandro Delaude', 'Sabrina Rodriguez-Campos', 'Anou Dreyfus', 'Thierry Francey', 'Ariane Schweighauser', 'Sophie Lettry', 'Simone Schuller']"
8633,Sophie Lettry,"['Alessandro Delaude', 'Sabrina Rodriguez-Campos', 'Anou Dreyfus', 'Michel Jacques Counotte', 'Thierry Francey', 'Ariane Schweighauser', 'Simone Schuller']"
8634,Bili Xia,"['Le Sun', 'Xia Fan', 'Haihan Xiao', 'Yongzhang Zhu', 'Jinhong Qin', 'Chengsong Cai', 'Wei Zhao', 'Yung-Fu Chang', 'Yan Zhang', 'Xiaokui Guo', 'Ping He']"
8635,Le Sun,"['Bili Xia', 'Xia Fan', 'Haihan Xiao', 'Yongzhang Zhu', 'Jinhong Qin', 'Chengsong Cai', 'Wei Zhao', 'Yung-Fu Chang', 'Yan Zhang', 'Xiaokui Guo', 'Ping He']"
8636,Xia Fan,"['Bili Xia', 'Le Sun', 'Haihan Xiao', 'Yongzhang Zhu', 'Jinhong Qin', 'Chengsong Cai', 'Wei Zhao', 'Yung-Fu Chang', 'Yan Zhang', 'Xiaokui Guo', 'Ping He']"
